i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=151; ba,adcbc->dc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=152; c,ba->cab; size_dict={'a': 3, 'b': 2, 'c': 3};
i=153; ca,cabd->bd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=154; ac,cbac->b; size_dict={'a': 2, 'b': 2, 'c': 4};
i=155; dc,adcb->ab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=156; ,bab->ba; size_dict={'a': 4, 'b': 5};
i=157; dbca,cad->db; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=158; ba,aacb->c; size_dict={'a': 2, 'b': 4, 'c': 2};
i=159; abcd,cad->b; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2};
i=160; bb,ecdcab->cdae; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=161; a,bdcad->cbd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3};
i=162; dca,cbd->ba; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2};
i=163; ac,dbc->bda; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2};
i=164; cb,ca->acb; size_dict={'a': 2, 'b': 7, 'c': 2};
i=165; badcb,da->bc; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2};
i=166; c,ab->abc; size_dict={'a': 2, 'b': 2, 'c': 8};
i=167; ad,bc->cadb; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2};
i=168; bcb,cba->ac; size_dict={'a': 2, 'b': 2, 'c': 8};
i=169; acb,b->c; size_dict={'a': 2, 'b': 2, 'c': 6};
i=170; ca,bcd->dba; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2};
i=171; a,acab->cb; size_dict={'a': 3, 'b': 2, 'c': 5};
i=172; ad,bc->cdba; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2};
i=173; cd,bca->adb; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2};
i=174; c,bac->a; size_dict={'a': 3, 'b': 5, 'c': 2};
i=175; edc,bda->acbe; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=176; ab,b->ba; size_dict={'a': 2, 'b': 15};
i=177; da,cbe->edcba; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=178; beca,d->dcbae; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=179; eadcb,ab->dce; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=180; ac,dcbe->dcbea; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=181; c,ba->cb; size_dict={'a': 2, 'b': 7, 'c': 2};
i=182; cbae,adbe->cd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=183; c,cba->a; size_dict={'a': 3, 'b': 4, 'c': 2};
i=184; bc,a->bca; size_dict={'a': 2, 'b': 3, 'c': 5};
i=185; dacbe,dbc->e; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=186; cab,cb->a; size_dict={'a': 3, 'b': 5, 'c': 2};
i=187; ac,abdc->; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2};
i=188; dac,bac->db; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2};
i=189; ab,cb->bca; size_dict={'a': 4, 'b': 2, 'c': 4};
i=190; daaceb,d->abec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=191; ecb,cade->db; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=192; aab,b->a; size_dict={'a': 13, 'b': 2};
i=193; bdea,c->dceab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=194; bbc,bca->ab; size_dict={'a': 2, 'b': 2, 'c': 6};
i=195; ab,bcac->c; size_dict={'a': 3, 'b': 2, 'c': 7};
i=196; bd,abc->cbda; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 3};
i=197; dc,dba->abdc; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 2};
i=198; ba,c->bac; size_dict={'a': 2, 'b': 7, 'c': 3};
i=199; acdee,bc->bead; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=200; acdb,cb->da; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 2};
i=201; dc,adb->cba; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5};
i=202; d,acb->adc; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2};
i=203; ccdba,da->cb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5};
i=204; cadb,bcd->ac; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2};
i=205; edcb,ae->bdca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=206; cd,cbad->b; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2};
i=207; ab,cbd->dbca; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2};
i=208; adbc,ac->d; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2};
i=209; cb,ab->acb; size_dict={'a': 2, 'b': 3, 'c': 7};
i=210; bacd,eb->edca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=211; acdb,ebc->ead; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=212; bba,abc->c; size_dict={'a': 2, 'b': 7, 'c': 3};
i=213; c,acb->abc; size_dict={'a': 8, 'b': 2, 'c': 2};
i=214; cbad,e->ecdab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=215; caa,db->cbad; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2};
i=216; cbad,dc->ba; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2};
i=217; bcedc,ceea->abd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=218; bda,cda->cb; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 2};
i=219; bba,dc->cbad; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 3};
i=220; cb,ab->ca; size_dict={'a': 3, 'b': 7, 'c': 2};
i=221; bca,cc->ba; size_dict={'a': 2, 'b': 5, 'c': 4};
i=222; b,aa->ab; size_dict={'a': 4, 'b': 10};
i=223; bcad,dac->b; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2};
i=224; d,cbda->bdc; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3};
i=225; dcbae,ecbd->dca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=226; cab,ada->cbd; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2};
i=227; bd,cadab->ac; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2};
i=228; ddc,bca->dab; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2};
i=229; bd,aecb->eca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=230; ab,c->bc; size_dict={'a': 11, 'b': 2, 'c': 2};
i=231; ca,bd->db; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2};
i=232; b,ca->abc; size_dict={'a': 2, 'b': 4, 'c': 4};
i=233; cbad,adb->cab; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 7};
i=234; d,cabd->acb; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 5};
i=235; dcba,ac->dcb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 3};
i=236; acbd,eda->ebc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 3};
i=237; ccba,bc->ca; size_dict={'a': 4, 'b': 4, 'c': 4};
i=238; dcb,efad->fabec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=239; bac,ca->b; size_dict={'a': 15, 'b': 2, 'c': 2};
i=240; bcde,a->acbde; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2};
i=241; bd,bca->cad; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 8};
i=242; da,acbad->bc; size_dict={'a': 2, 'b': 6, 'c': 2, 'd': 2};
i=243; cd,ab->dcab; size_dict={'a': 2, 'b': 6, 'c': 2, 'd': 2};
i=244; cb,ac->ab; size_dict={'a': 4, 'b': 6, 'c': 2};
i=245; c,cab->ba; size_dict={'a': 7, 'b': 4, 'c': 2};
i=246; ca,cb->ab; size_dict={'a': 4, 'b': 5, 'c': 3};
i=247; bba,b->a; size_dict={'a': 11, 'b': 5};
i=248; cb,ab->ac; size_dict={'a': 6, 'b': 2, 'c': 5};
i=249; acbdb,ac->adb; size_dict={'a': 5, 'b': 3, 'c': 2, 'd': 2};
i=250; d,bedca->cbda; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2};
i=251; acad,b->abcd; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 2};
i=252; ca,ba->a; size_dict={'a': 2, 'b': 15, 'c': 2};
i=253; cbaed,deac->b; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4};
i=254; cfd,abee->abedfc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=255; ba,b->ba; size_dict={'a': 20, 'b': 3};
i=256; ba,dec->dbca; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2};
i=257; abc,a->; size_dict={'a': 2, 'b': 2, 'c': 14};
i=258; dcab,bdc->a; size_dict={'a': 5, 'b': 2, 'c': 3, 'd': 2};
i=259; ca,b->cba; size_dict={'a': 8, 'b': 2, 'c': 4};
i=260; aed,ecba->dc; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2};
i=261; db,ca->bdac; size_dict={'a': 2, 'b': 8, 'c': 2, 'd': 2};
i=262; bccd,da->cab; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 4};
i=263; ca,cbd->db; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 3};
i=264; ecda,abfdc->ecfb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=265; bdca,dacbc->ba; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 4};
i=266; ,baac->abc; size_dict={'a': 3, 'b': 2, 'c': 10};
i=267; debca,cdaeb->db; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2};
i=268; ba,bc->ac; size_dict={'a': 3, 'b': 2, 'c': 10};
i=269; adbc,de->eacb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2};
i=270; bce,acdbf->deaf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=271; b,bcda->dac; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 4};
i=272; b,cbba->ca; size_dict={'a': 7, 'b': 2, 'c': 6};
i=273; cdb,bca->da; size_dict={'a': 2, 'b': 5, 'c': 4, 'd': 2};
i=274; db,adbc->ac; size_dict={'a': 4, 'b': 5, 'c': 2, 'd': 2};
i=275; a,bdc->cab; size_dict={'a': 2, 'b': 4, 'c': 3, 'd': 3};
i=276; dbc,cdeab->ac; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=277; ,acb->ab; size_dict={'a': 6, 'b': 2, 'c': 7};
i=278; cdb,a->bcad; size_dict={'a': 5, 'b': 3, 'c': 2, 'd': 3};
i=279; edb,cabdd->eac; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 3, 'e': 2};
i=280; abe,aedc->abd; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 2, 'e': 2};
i=281; cba,d->dbac; size_dict={'a': 6, 'b': 2, 'c': 2, 'd': 3};
i=282; aecd,fbe->cabfd; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=283; beadc,ebda->c; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 2, 'e': 2};
i=284; caab,->c; size_dict={'a': 5, 'b': 8, 'c': 2};
i=285; b,ca->cab; size_dict={'a': 2, 'b': 22, 'c': 2};
i=286; cba,a->bc; size_dict={'a': 3, 'b': 6, 'c': 5};
i=287; dbcc,acb->da; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 7};
i=288; dbc,acbe->daec; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2, 'e': 2};
i=289; ccdd,dcba->cabd; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 6};
i=290; ab,bc->ac; size_dict={'a': 3, 'b': 15, 'c': 2};
i=291; cab,acd->d; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 4};
i=292; fdb,dcea->cedfba; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=293; beda,ceb->dac; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=294; a,acb->bc; size_dict={'a': 2, 'b': 4, 'c': 11};
i=295; cba,c->a; size_dict={'a': 3, 'b': 7, 'c': 4};
i=296; cb,ba->cab; size_dict={'a': 3, 'b': 8, 'c': 3};
i=297; dbadc,da->dbc; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 5};
i=298; bea,edcb->dca; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 3, 'e': 2};
i=299; ,bac->ab; size_dict={'a': 10, 'b': 4, 'c': 2};
i=300; bebac,deabc->adb; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 2, 'e': 2};
i=301; dbc,ca->adb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 5};
i=302; cba,abc->a; size_dict={'a': 2, 'b': 14, 'c': 3};
i=303; b,dbca->acd; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 4};
i=304; bc,ca->ab; size_dict={'a': 4, 'b': 8, 'c': 2};
i=305; c,baac->a; size_dict={'a': 31, 'b': 2, 'c': 2};
i=306; b,bcda->da; size_dict={'a': 8, 'b': 2, 'c': 2, 'd': 4};
i=307; fedcb,dab->eafc; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=308; bcaed,ecb->d; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 2, 'e': 2};
i=309; ba,->ab; size_dict={'a': 25, 'b': 5};
i=310; dc,ba->cba; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 4};
i=311; cade,eab->edcb; size_dict={'a': 3, 'b': 3, 'c': 2, 'd': 3, 'e': 2};
i=312; bc,dba->cabd; size_dict={'a': 15, 'b': 2, 'c': 2, 'd': 2};
i=313; dcbe,dbda->eabc; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 3, 'e': 3};
i=314; ,ba->ba; size_dict={'a': 16, 'b': 8};
i=315; efdabc,c->ebd; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=316; cbabfd,aecb->abdfe; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=317; ecbad,e->acdb; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3, 'e': 3};
i=318; bd,abc->da; size_dict={'a': 2, 'b': 3, 'c': 5, 'd': 4};
i=319; adbc,->bcda; size_dict={'a': 6, 'b': 2, 'c': 5, 'd': 2};
i=320; ab,cb->c; size_dict={'a': 2, 'b': 11, 'c': 5};
i=321; fadbc,faced->be; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 2};
i=322; cdaf,ebff->bcaed; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2};
i=323; cfecbd,bdaf->cfea; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=324; deabf,cea->edbca; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=325; acbd,cd->ba; size_dict={'a': 6, 'b': 4, 'c': 2, 'd': 2};
i=326; becd,cdcea->ab; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 5};
i=327; ab,cb->a; size_dict={'a': 16, 'b': 2, 'c': 4};
i=328; cade,bed->baec; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 4};
i=329; bab,cb->a; size_dict={'a': 6, 'b': 7, 'c': 3};
i=330; cdab,ca->bdc; size_dict={'a': 6, 'b': 2, 'c': 5, 'd': 2};
i=331; ac,cb->ab; size_dict={'a': 3, 'b': 9, 'c': 4};
i=332; ade,bc->abce; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 8, 'e': 2};
i=333; cfeb,cdba->defa; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 2};
i=334; ,bac->bca; size_dict={'a': 2, 'b': 23, 'c': 2};
i=335; deb,ecfad->acbf; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=336; ac,cb->b; size_dict={'a': 2, 'b': 16, 'c': 4};
i=337; ab,acd->bacd; size_dict={'a': 3, 'b': 2, 'c': 5, 'd': 4};
